Account,Date,daily_pnl,trades,avg_trade_size_usd,total_volume_usd,win_rate,long_ratio,pnl_per_trade,sentiment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,5089.718248587571,900880.13,0.0,0.0,0.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,7976.664411764705,542413.1799999999,0.0,0.0,0.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,23734.5,949380.0,0.0,0.0,0.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,28186.666666666668,338240.0,0.0,0.0,-1632.8461538461538,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,17248.14814814815,465700.0,0.4444444444444444,0.0,57.253571428571426,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,16058.536341463414,1316799.98,0.0,0.0,-1593.6265060240964,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,48561.68565217392,1116918.77,0.0,0.0,0.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,36736.36242424243,1212299.96,0.0,0.0,-5165.029413411765,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,11410.954021505377,5306093.62,0.04946236559139785,0.0,153.20593154077253,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,9400.588039215687,479429.99,0.5490196078431373,0.0,773.4346153461538,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,185847.0,1858470.0,0.9,0.0,6973.636363636364,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,23593.019856972587,19794543.66,0.30512514898688914,0.0,120.25200674285715,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,10576.687156308852,5616220.88,0.15630885122410546,0.0,706.0531395545113,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,26585.06338095238,5582863.31,0.37142857142857144,0.0,210.43083317535545,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,10161.056241134751,1432708.93,0.9361702127659575,0.0,217.58513169014086,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,32032.5,1537560.0,0.3333333333333333,0.0,1124.204081632653,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,807600.01,0.0,0.0,0.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,1603504.46,0.5254237288135594,0.0,169.20203733333335,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,2898197.14,0.4246575342465753,0.0,524.7517979,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,1372739.97,0.01818181818181818,0.0,2058.6964285714284,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,134360.89,0.8,0.0,206.1352487173913,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,5365898.24,0.8424336973478939,0.0,831.7362350514019,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,398200.0,0.8,0.0,6700.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,666240.85,1.0,0.0,9620.4938565625,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,2469.9509090909087,135847.3,0.8363636363636363,0.0,209.21327196428572,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.06,0.06,0.0,0.0,0.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,1426.8700000000001,48513.58,0.0,0.0,0.0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,2001.101153846154,52028.630000000005,0.9615384615384616,0.0,130.18633574074076,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,1131.888695652174,52066.88,0.0,0.0,0.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,852.88625,54584.72,0.984375,0.0,38.73519053846154,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,1913.523898305085,112897.91,0.2542372881355932,0.0,26.886098383333334,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.11,0.11,0.0,0.0,0.0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,10051.199411764705,341740.77999999997,0.6176470588235294,0.0,35.58624314285714,1.0
